   111 -0.106600 0.046400 -0.060400 -0.012656 0.005692 -0.999904 -0.189670 -0.981843 -0.003260 -0.981767 0.189610 0.013505 0.996718
   112 -0.106600 0.046400 -0.060400 -0.189670 -0.981843 -0.003260 0.012656 -0.005692 0.999904 -0.981767 0.189610 0.013505 -0.008256
   113 -0.106600 0.046400 -0.060400 -0.012656 0.005692 -0.999904 -0.189670 -0.981843 -0.003260 -0.981767 0.189610 0.013505 -0.002015
   121 -0.102000 0.063100 -0.025600 0.002788 0.004119 -0.999988 -0.255702 -0.966744 -0.004704 -0.966752 0.255711 -0.001642 0.994991
   122 -0.102000 0.063100 -0.025600 0.002788 0.004119 -0.999988 -0.255702 -0.966744 -0.004704 -0.966752 0.255711 -0.001642 -0.007581
   123 -0.102000 0.063100 -0.025600 -0.255702 -0.966744 -0.004704 -0.002788 -0.004119 0.999988 -0.966752 0.255711 -0.001642 -0.000533
   131 -0.108500 0.030200 -0.026600 0.011884 0.001459 -0.999928 -0.085136 -0.996366 -0.002429 -0.996299 0.085159 -0.011717 0.998740
   132 -0.108500 0.030200 -0.026600 0.011884 0.001459 -0.999928 -0.085136 -0.996366 -0.002429 -0.996299 0.085159 -0.011717 -0.008613
   133 -0.108500 0.030200 -0.026600 -0.085136 -0.996366 -0.002429 -0.011884 -0.001459 0.999928 -0.996299 0.085159 -0.011717 -0.000414
   141 -0.109900 0.013100 -0.062700 -0.032650 0.002338 -0.999464 -0.031720 -0.999496 -0.001363 -0.998963 0.031658 0.032708 1.000387
   142 -0.109900 0.013100 -0.062700 -0.031720 -0.999496 -0.001363 0.032650 -0.002338 0.999464 -0.998963 0.031658 0.032708 -0.010422
   143 -0.109900 0.013100 -0.062700 -0.032650 0.002338 -0.999464 -0.031720 -0.999496 -0.001363 -0.998963 0.031658 0.032708 -0.001769
   211 -0.107400 0.032900 0.008000 -0.056648 0.008248 -0.998360 -0.098849 -0.995099 -0.002646 -0.993489 0.098537 0.057185 1.001260
   212 -0.107400 0.032900 0.008000 -0.098849 -0.995099 -0.002646 0.056648 -0.008248 0.998360 -0.993489 0.098537 0.057185 -0.009788
   213 -0.107400 0.032900 0.008000 -0.056648 0.008248 -0.998360 -0.098849 -0.995099 -0.002646 -0.993489 0.098537 0.057185 -0.001539
   221 -0.098900 0.040300 0.041300 -0.340758 0.059404 -0.938273 -0.161158 -0.986921 -0.003942 -0.926235 0.149866 0.345874 1.003065
